funcid,dim,milestone,error
1,30,1,7.480511e+10
1,30,2,7.480511e+10
1,30,3,7.480511e+10
1,30,5,2.549101e+10
1,30,10,7.660332e+07
1,30,20,7.660332e+07
1,30,30,7.660332e+07
1,30,40,7.660332e+07
1,30,50,7.660332e+07
1,30,60,7.660332e+07
1,30,70,7.660332e+07
1,30,80,7.660332e+07
1,30,90,7.660332e+07
1,30,100,7.660332e+07
1,30,1,7.475481e+10
1,30,2,7.475481e+10
1,30,3,7.475481e+10
1,30,5,4.339025e+10
1,30,10,2.666091e+08
1,30,20,2.666091e+08
1,30,30,2.666091e+08
1,30,40,2.666091e+08
1,30,50,2.666091e+08
1,30,60,7.896978e+07
1,30,70,7.896978e+07
1,30,80,7.896978e+07
1,30,90,7.896978e+07
1,30,100,7.896978e+07
1,30,1,6.447530e+10
1,30,2,6.447530e+10
1,30,3,6.447530e+10
1,30,5,6.447530e+10
1,30,1,8.192540e+10
1,30,2,8.192540e+10
1,30,3,8.192540e+10
1,30,5,4.386510e+10
1,30,1,8.175308e+10
1,30,2,6.898674e+10
1,30,3,3.225829e+10
1,30,5,3.225829e+10
1,30,1,7.644598e+10
1,30,2,7.644598e+10
1,30,3,7.644598e+10
1,30,5,7.644598e+10
1,30,1,1.030610e+11
1,30,2,1.030610e+11
1,30,3,1.030610e+11
1,30,5,1.030610e+11
1,30,1,5.723020e+10
1,30,2,5.723020e+10
1,30,3,5.723020e+10
1,30,5,5.723020e+10
1,30,1,5.700736e+10
1,30,2,5.700736e+10
1,30,3,5.700736e+10
1,30,5,5.700736e+10
1,30,1,1.049227e+11
1,30,2,1.049227e+11
1,30,3,5.353570e+10
1,30,5,1.995745e+10
1,30,1,1.716857e+11
1,30,2,1.716857e+11
1,30,3,1.716857e+11
1,30,5,1.716857e+11
1,30,1,6.642572e+10
1,30,2,6.642572e+10
1,30,3,6.642572e+10
1,30,5,6.642572e+10
1,30,1,8.346149e+10
1,30,2,4.044166e+10
1,30,3,3.866470e+10
1,30,5,3.866470e+10
1,30,1,5.964138e+10
1,30,2,5.964138e+10
1,30,3,5.964138e+10
1,30,5,5.964138e+10
1,30,1,6.362107e+10
1,30,2,6.362107e+10
1,30,3,6.362107e+10
1,30,5,6.362107e+10
1,30,1,8.166604e+10
1,30,2,8.166604e+10
1,30,3,8.166604e+10
1,30,5,8.166604e+10
1,30,1,9.162292e+10
1,30,2,9.162292e+10
1,30,3,9.162292e+10
1,30,5,2.467505e+10
1,30,1,9.855654e+10
1,30,2,9.855654e+10
1,30,3,9.855654e+10
1,30,5,2.200367e+10
1,30,1,7.043699e+10
1,30,2,7.043699e+10
1,30,3,7.043699e+10
1,30,5,1.929418e+10
1,30,1,6.234876e+10
1,30,2,6.234876e+10
1,30,3,6.234876e+10
1,30,5,6.234876e+10
1,30,1,7.951367e+10
1,30,2,5.936530e+10
1,30,3,5.513677e+10
1,30,5,3.278639e+10
1,30,1,9.127421e+10
1,30,2,9.127421e+10
1,30,3,9.127421e+10
1,30,5,4.307694e+10
1,30,1,7.311356e+10
1,30,2,7.311356e+10
1,30,3,7.311356e+10
1,30,5,7.311356e+10
1,30,1,9.521679e+10
1,30,2,9.521679e+10
1,30,3,9.521679e+10
1,30,5,9.521679e+10
1,30,1,1.441398e+11
1,30,2,1.441398e+11
1,30,3,1.441398e+11
1,30,5,5.447510e+10
1,30,1,1.168422e+11
1,30,2,1.168422e+11
1,30,3,8.658489e+10
1,30,5,1.302553e+10
1,30,1,6.997548e+10
1,30,2,6.997548e+10
1,30,3,6.997548e+10
1,30,5,6.997548e+10
1,30,1,8.098881e+10
1,30,2,8.098881e+10
1,30,3,8.098881e+10
1,30,5,8.098881e+10
1,30,1,8.061623e+10
1,30,2,8.061623e+10
1,30,3,8.061623e+10
1,30,5,8.061623e+10
1,30,1,6.590382e+10
1,30,2,6.590382e+10
1,30,3,6.590382e+10
1,30,5,6.590382e+10
1,30,1,1.522868e+11
1,30,2,1.522868e+11
1,30,3,1.522868e+11
1,30,5,1.522868e+11
1,30,1,7.654485e+10
1,30,2,6.254362e+10
1,30,3,6.254362e+10
1,30,5,3.921370e+10
1,30,1,6.763654e+10
1,30,2,6.763654e+10
1,30,3,6.763654e+10
1,30,5,6.763654e+10
1,30,1,5.800776e+10
1,30,2,5.800776e+10
1,30,3,5.800776e+10
1,30,5,5.800776e+10
1,30,1,1.223829e+11
1,30,2,1.223829e+11
1,30,3,1.223829e+11
1,30,5,1.223829e+11
1,30,1,7.797839e+10
1,30,2,7.797839e+10
1,30,3,7.797839e+10
1,30,5,7.797839e+10
1,30,1,8.383267e+10
1,30,2,8.383267e+10
1,30,3,8.383267e+10
1,30,5,3.940921e+10
1,30,1,1.551344e+11
1,30,2,1.551344e+11
1,30,3,8.085542e+10
1,30,5,1.404686e+10
1,30,1,6.699876e+10
1,30,2,6.699876e+10
1,30,3,6.699876e+10
1,30,5,6.699876e+10
1,30,1,7.367275e+10
1,30,2,7.367275e+10
1,30,3,7.367275e+10
1,30,5,5.217098e+10
1,30,1,8.115021e+10
1,30,2,8.115021e+10
1,30,3,8.115021e+10
1,30,5,1.675560e+10
1,30,1,1.193926e+11
1,30,2,1.193926e+11
1,30,3,5.227189e+10
1,30,5,1.252535e+10
1,30,1,1.081464e+11
1,30,2,1.081464e+11
1,30,3,1.081464e+11
1,30,5,1.081464e+11
1,30,1,6.066525e+10
1,30,2,6.066525e+10
1,30,3,6.066525e+10
1,30,5,3.301585e+10
1,30,1,8.749040e+10
1,30,2,7.542663e+10
1,30,3,5.323487e+10
1,30,5,8.339414e+09
1,30,1,7.646574e+10
1,30,2,7.646574e+10
1,30,3,7.646574e+10
1,30,5,7.646574e+10
1,30,1,6.422037e+10
1,30,2,6.422037e+10
1,30,3,6.422037e+10
1,30,5,6.422037e+10
1,30,1,6.282344e+10
1,30,2,6.282344e+10
1,30,3,6.282344e+10
1,30,5,6.282344e+10
1,30,1,1.522697e+11
1,30,2,8.680654e+10
1,30,3,7.031339e+10
1,30,5,4.517878e+10
1,30,1,6.960722e+10
1,30,2,6.960722e+10
1,30,3,6.960722e+10
1,30,5,6.634239e+10
1,30,1,6.540639e+10
1,30,2,6.540639e+10
1,30,3,6.540639e+10
1,30,5,6.540639e+10
1,30,1,7.416257e+10
1,30,2,7.416257e+10
1,30,3,7.416257e+10
1,30,5,7.416257e+10
1,30,1,5.606236e+10
1,30,2,5.606236e+10
1,30,3,5.606236e+10
1,30,5,5.606236e+10
1,30,1,6.744063e+10
1,30,2,6.744063e+10
1,30,3,6.744063e+10
1,30,5,4.011983e+10
1,30,1,7.285181e+10
1,30,2,7.285181e+10
1,30,3,7.285181e+10
1,30,5,7.285181e+10
1,30,1,5.576389e+10
1,30,2,5.576389e+10
1,30,3,5.576389e+10
1,30,5,5.576389e+10
1,30,1,1.029464e+11
1,30,2,1.029464e+11
1,30,3,1.029464e+11
1,30,5,1.029464e+11
1,30,1,1.309316e+11
1,30,2,1.309316e+11
1,30,3,1.309316e+11
1,30,5,1.309316e+11
1,30,1,1.169426e+11
1,30,2,1.169426e+11
1,30,3,1.169426e+11
1,30,5,4.057146e+10
1,30,1,7.368941e+10
1,30,2,7.368941e+10
1,30,3,7.368941e+10
1,30,5,7.368941e+10
1,30,1,6.854062e+10
1,30,2,6.854062e+10
1,30,3,6.854062e+10
1,30,5,4.267468e+10
1,30,1,7.123760e+10
1,30,2,7.123760e+10
1,30,3,7.123760e+10
1,30,5,7.123760e+10
1,30,1,7.579243e+10
1,30,2,7.579243e+10
1,30,3,7.579243e+10
1,30,5,7.579243e+10
1,30,1,1.034379e+11
1,30,2,1.034379e+11
1,30,3,1.034379e+11
1,30,5,1.034379e+11
1,30,1,1.137615e+11
1,30,2,1.137615e+11
1,30,3,1.137615e+11
1,30,5,1.137615e+11
1,30,1,9.671512e+10
1,30,2,9.671512e+10
1,30,3,9.671512e+10
1,30,5,7.254040e+10
1,30,1,5.903284e+10
1,30,2,5.903284e+10
1,30,3,5.903284e+10
1,30,5,5.903284e+10
1,30,1,7.958291e+10
1,30,2,7.958291e+10
1,30,3,7.958291e+10
1,30,5,7.958291e+10
1,30,1,7.765954e+10
1,30,2,7.765954e+10
1,30,3,7.765954e+10
1,30,5,7.765954e+10
1,30,1,8.123275e+10
1,30,2,8.123275e+10
1,30,3,5.007549e+10
1,30,5,5.007549e+10
1,30,1,6.844411e+10
1,30,2,6.844411e+10
1,30,3,6.844411e+10
1,30,5,6.844411e+10
1,30,1,8.404308e+10
1,30,2,8.404308e+10
1,30,3,5.119715e+10
1,30,5,5.119715e+10
1,30,1,7.282721e+10
1,30,2,7.282721e+10
1,30,3,7.282721e+10
1,30,5,2.483646e+10
1,30,1,1.112028e+11
1,30,2,1.112028e+11
1,30,3,1.112028e+11
1,30,5,1.827086e+10
1,30,1,7.694888e+10
1,30,2,7.694888e+10
1,30,3,7.694888e+10
1,30,5,2.914528e+10
1,30,1,7.329963e+10
1,30,2,7.329963e+10
1,30,3,7.329963e+10
1,30,5,7.329963e+10
1,30,1,7.028756e+10
1,30,2,7.028756e+10
1,30,3,7.028756e+10
1,30,5,5.107954e+10
1,30,1,1.150888e+11
1,30,2,1.150888e+11
1,30,3,7.083698e+10
1,30,5,6.033940e+10
1,30,1,6.329395e+10
1,30,2,6.329395e+10
1,30,3,6.329395e+10
1,30,5,6.329395e+10
1,30,1,1.432144e+11
1,30,2,1.432144e+11
1,30,3,1.432144e+11
1,30,5,3.667711e+10
1,30,1,5.599695e+10
1,30,2,5.599695e+10
1,30,3,5.599695e+10
1,30,5,5.599695e+10
1,30,1,6.832320e+10
1,30,2,6.832320e+10
1,30,3,6.832320e+10
1,30,5,6.832320e+10
1,30,1,7.847663e+10
1,30,2,7.847663e+10
1,30,3,7.847663e+10
1,30,5,3.342800e+10
1,30,1,8.244156e+10
1,30,2,8.244156e+10
1,30,3,8.244156e+10
1,30,5,1.192149e+10
1,30,1,6.518788e+10
1,30,2,6.518788e+10
1,30,3,6.518788e+10
1,30,5,6.518788e+10
1,30,1,7.064313e+10
1,30,2,7.064313e+10
1,30,3,6.465281e+10
1,30,5,4.890260e+10
1,30,1,7.269172e+10
1,30,2,7.269172e+10
1,30,3,5.934337e+10
1,30,5,5.351955e+10
1,30,1,5.317562e+10
1,30,2,5.317562e+10
1,30,3,5.317562e+10
1,30,5,5.317562e+10
1,30,1,5.942897e+10
1,30,2,5.942897e+10
1,30,3,5.942897e+10
1,30,5,5.942897e+10
1,30,1,5.738530e+10
1,30,2,5.738530e+10
1,30,3,5.738530e+10
1,30,5,5.738530e+10
1,30,1,7.124811e+10
1,30,2,7.124811e+10
1,30,3,7.124811e+10
1,30,5,7.124811e+10
1,30,1,1.242890e+11
1,30,2,1.242890e+11
1,30,3,1.242890e+11
1,30,5,1.242890e+11
1,30,1,8.200181e+10
1,30,2,8.200181e+10
1,30,3,8.200181e+10
1,30,5,7.060371e+10
1,30,1,1.153818e+11
1,30,2,1.153818e+11
1,30,3,1.153818e+11
1,30,5,1.153818e+11
1,30,1,5.555390e+10
1,30,2,5.555390e+10
1,30,3,5.555390e+10
1,30,5,5.555390e+10
1,30,1,5.219087e+10
1,30,2,5.219087e+10
1,30,3,5.219087e+10
1,30,5,5.219087e+10
1,30,1,7.101485e+10
1,30,2,7.101485e+10
1,30,3,7.101485e+10
1,30,5,7.101485e+10
1,30,1,8.426090e+10
1,30,2,8.426090e+10
1,30,3,8.426090e+10
1,30,5,8.426090e+10
1,30,1,5.734140e+10
1,30,2,5.734140e+10
1,30,3,5.734140e+10
1,30,5,5.734140e+10
1,30,1,6.960472e+10
1,30,2,6.960472e+10
1,30,3,6.960472e+10
1,30,5,6.960472e+10
1,30,1,6.574288e+10
1,30,2,6.574288e+10
1,30,3,6.574288e+10
1,30,5,6.574288e+10
1,30,1,8.908521e+10
1,30,2,8.908521e+10
1,30,3,8.908521e+10
1,30,5,4.426539e+10
1,30,1,1.079799e+11
1,30,2,1.079799e+11
1,30,3,1.079799e+11
1,30,5,1.079799e+11
1,30,1,7.241392e+10
1,30,2,7.241392e+10
1,30,3,7.241392e+10
1,30,5,7.241392e+10
1,30,1,7.898491e+10
1,30,2,7.223594e+10
1,30,3,3.963689e+10
1,30,5,2.988492e+10
1,30,1,8.225545e+10
1,30,2,8.225545e+10
1,30,3,8.225545e+10
1,30,5,2.045307e+10
1,30,1,6.938261e+10
1,30,2,6.938261e+10
1,30,3,6.938261e+10
1,30,5,6.938261e+10
1,30,1,6.172947e+10
1,30,2,6.172947e+10
1,30,3,6.172947e+10
1,30,5,3.667408e+10
1,30,1,7.074958e+10
1,30,2,7.074958e+10
1,30,3,7.074958e+10
1,30,5,7.074958e+10
1,30,1,7.158611e+10
1,30,2,7.158611e+10
1,30,3,7.158611e+10
1,30,5,8.294067e+09
1,30,1,1.238064e+11
1,30,2,1.238064e+11
1,30,3,1.238064e+11
1,30,5,3.721651e+10
1,30,1,6.515486e+10
1,30,2,6.515486e+10
1,30,3,6.515486e+10
1,30,5,6.515486e+10
1,30,1,1.473174e+11
1,30,2,1.473174e+11
1,30,3,1.473174e+11
1,30,5,1.473174e+11
1,30,1,7.846913e+10
1,30,2,7.846913e+10
1,30,3,7.846913e+10
1,30,5,3.043149e+10
1,30,1,8.242875e+10
1,30,2,8.242875e+10
1,30,3,8.242875e+10
1,30,5,8.242875e+10
1,30,1,6.884489e+10
1,30,2,6.884489e+10
1,30,3,6.884489e+10
1,30,5,4.926890e+10
1,30,1,5.610943e+10
1,30,2,5.610943e+10
1,30,3,5.610943e+10
1,30,5,5.610943e+10
1,30,1,8.712157e+10
