funcid,dim,milestone,error
14,30,1,2.723809e+07
14,30,2,2.723809e+07
14,30,3,2.723809e+07
14,30,5,2.723809e+07
14,30,1,1.687909e+07
14,30,2,1.687909e+07
14,30,3,1.687909e+07
14,30,5,1.687909e+07
14,30,1,1.546725e+06
14,30,2,1.546725e+06
14,30,3,1.546725e+06
14,30,5,1.546725e+06
14,30,1,1.021712e+08
14,30,2,1.021712e+08
14,30,3,1.021712e+08
14,30,5,1.021712e+08
14,30,1,7.201491e+06
14,30,2,7.201491e+06
14,30,3,7.201491e+06
14,30,5,7.201491e+06
14,30,1,6.733976e+06
14,30,2,6.733976e+06
14,30,3,6.733976e+06
14,30,5,6.733976e+06
14,30,1,7.360852e+07
14,30,2,7.360852e+07
14,30,3,7.360852e+07
14,30,5,7.360852e+07
14,30,1,2.034129e+08
14,30,2,2.034129e+08
14,30,3,2.034129e+08
14,30,5,2.034129e+08
14,30,1,1.417576e+08
14,30,2,1.417576e+08
14,30,3,1.417576e+08
14,30,5,1.417576e+08
14,30,1,9.814332e+06
14,30,2,9.814332e+06
14,30,3,9.814332e+06
14,30,5,9.814332e+06
14,30,1,1.299238e+08
14,30,2,1.299238e+08
14,30,3,1.299238e+08
14,30,5,1.189671e+08
14,30,1,1.221949e+06
14,30,2,1.221949e+06
14,30,3,1.221949e+06
14,30,5,1.221949e+06
14,30,1,9.138432e+07
14,30,2,9.138432e+07
14,30,3,9.138432e+07
14,30,5,9.138432e+07
14,30,1,3.646956e+07
14,30,2,3.646956e+07
14,30,3,3.646956e+07
14,30,5,3.646956e+07
14,30,1,2.280403e+07
14,30,2,2.280403e+07
14,30,3,2.280403e+07
14,30,5,2.280403e+07
14,30,1,1.994559e+08
14,30,2,1.994559e+08
14,30,3,1.994559e+08
14,30,5,1.994559e+08
14,30,1,2.362589e+07
14,30,2,2.362589e+07
14,30,3,2.362589e+07
14,30,5,2.362589e+07
14,30,1,3.222301e+07
14,30,2,3.222301e+07
14,30,3,3.222301e+07
14,30,5,3.222301e+07
14,30,1,4.210971e+07
14,30,2,4.210971e+07
14,30,3,4.210971e+07
14,30,5,4.210971e+07
14,30,1,9.217768e+07
14,30,2,9.217768e+07
14,30,3,9.217768e+07
14,30,5,9.217768e+07
14,30,1,1.492980e+07
14,30,2,1.492980e+07
14,30,3,1.492980e+07
14,30,5,1.492980e+07
14,30,1,9.883754e+07
14,30,2,9.883754e+07
14,30,3,9.883754e+07
14,30,5,9.883754e+07
14,30,1,1.950087e+08
14,30,2,1.950087e+08
14,30,3,1.950087e+08
14,30,5,1.950087e+08
14,30,1,1.466378e+08
14,30,2,1.466378e+08
14,30,3,1.466378e+08
14,30,5,1.410488e+08
14,30,1,2.054063e+07
14,30,2,2.054063e+07
14,30,3,2.054063e+07
14,30,5,2.054063e+07
14,30,1,6.124312e+07
14,30,2,6.124312e+07
14,30,3,6.124312e+07
14,30,5,6.124312e+07
14,30,1,2.708784e+07
14,30,2,2.708784e+07
14,30,3,2.708784e+07
14,30,5,2.708784e+07
14,30,1,4.703849e+07
