funcid,dim,milestone,error
9,30,1,4.475162e+04
9,30,2,4.475162e+04
9,30,3,4.475162e+04
9,30,5,1.267140e+04
9,30,1,2.830625e+04
9,30,2,2.830625e+04
9,30,3,2.830625e+04
9,30,5,2.830625e+04
9,30,1,2.721784e+04
9,30,2,2.721784e+04
9,30,3,2.721784e+04
9,30,5,1.385749e+04
9,30,1,1.339166e+04
9,30,2,1.339166e+04
9,30,3,1.339166e+04
9,30,5,1.339166e+04
9,30,1,3.112296e+04
9,30,2,3.112296e+04
9,30,3,3.112296e+04
9,30,5,3.112296e+04
9,30,1,2.044290e+04
9,30,2,2.044290e+04
9,30,3,2.044290e+04
9,30,5,2.044290e+04
9,30,1,1.832120e+04
9,30,2,1.832120e+04
9,30,3,1.832120e+04
9,30,5,1.832120e+04
9,30,1,3.783433e+04
9,30,2,3.783433e+04
9,30,3,3.783433e+04
9,30,5,3.783433e+04
9,30,1,3.626044e+04
9,30,2,3.626044e+04
9,30,3,3.626044e+04
9,30,5,3.626044e+04
9,30,1,1.686289e+04
9,30,2,1.686289e+04
9,30,3,1.686289e+04
9,30,5,1.686289e+04
9,30,1,3.337120e+04
9,30,2,3.337120e+04
9,30,3,3.337120e+04
9,30,5,1.117301e+04
9,30,1,1.978848e+04
9,30,2,1.978848e+04
9,30,3,1.978848e+04
9,30,5,1.978848e+04
9,30,1,1.760229e+04
9,30,2,1.506739e+04
9,30,3,1.506739e+04
9,30,5,1.506739e+04
9,30,1,1.621354e+04
9,30,2,1.621354e+04
9,30,3,1.621354e+04
9,30,5,1.621354e+04
9,30,1,2.796668e+04
9,30,2,2.796668e+04
9,30,3,2.796668e+04
9,30,5,2.796668e+04
9,30,1,4.354279e+04
9,30,2,4.354279e+04
9,30,3,4.354279e+04
9,30,5,9.265079e+03
9,30,1,2.038349e+04
9,30,2,2.038349e+04
9,30,3,2.038349e+04
9,30,5,2.038349e+04
9,30,1,2.054307e+04
9,30,2,2.054307e+04
9,30,3,2.054307e+04
9,30,5,2.054307e+04
9,30,1,1.745886e+04
9,30,2,1.745886e+04
9,30,3,1.745886e+04
9,30,5,1.745886e+04
9,30,1,3.768884e+04
9,30,2,3.768884e+04
9,30,3,3.768884e+04
9,30,5,3.768884e+04
9,30,1,2.121719e+04
9,30,2,2.121719e+04
9,30,3,2.121719e+04
9,30,5,1.790565e+04
9,30,1,2.089193e+04
9,30,2,2.089193e+04
9,30,3,2.089193e+04
9,30,5,2.089193e+04
9,30,1,1.266323e+04
9,30,2,1.266323e+04
9,30,3,1.266323e+04
9,30,5,1.266323e+04
9,30,1,1.817952e+04
9,30,2,1.817952e+04
9,30,3,1.817952e+04
9,30,5,1.817952e+04
9,30,1,2.560294e+04
9,30,2,2.560294e+04
9,30,3,2.560294e+04
9,30,5,2.560294e+04
9,30,1,1.466795e+04
9,30,2,1.466795e+04
9,30,3,1.466795e+04
9,30,5,1.466795e+04
9,30,1,3.933436e+04
9,30,2,3.933436e+04
9,30,3,3.933436e+04
9,30,5,3.933436e+04
9,30,1,2.781006e+04
9,30,2,2.781006e+04
9,30,3,2.781006e+04
9,30,5,2.781006e+04
9,30,1,2.350456e+04
9,30,2,2.350456e+04
9,30,3,2.350456e+04
9,30,5,1.392770e+04
9,30,1,1.845780e+04
9,30,2,1.845780e+04
9,30,3,1.845780e+04
9,30,5,1.845780e+04
9,30,1,2.441745e+04
9,30,2,2.441745e+04
9,30,3,2.441745e+04
9,30,5,2.441745e+04
9,30,1,4.577505e+04
9,30,2,4.577505e+04
9,30,3,4.577505e+04
9,30,5,4.577505e+04
9,30,1,2.263512e+04
9,30,2,2.263512e+04
9,30,3,2.263512e+04
9,30,5,2.263512e+04
9,30,1,1.973161e+04
9,30,2,1.973161e+04
9,30,3,1.973161e+04
9,30,5,1.973161e+04
9,30,1,2.821827e+04
9,30,2,2.821827e+04
9,30,3,2.821827e+04
9,30,5,2.821827e+04
9,30,1,1.970593e+04
9,30,2,1.970593e+04
9,30,3,1.970593e+04
9,30,5,1.970593e+04
9,30,1,4.575051e+04
9,30,2,4.575051e+04
9,30,3,4.575051e+04
9,30,5,4.575051e+04
9,30,1,1.314068e+04
9,30,2,1.314068e+04
9,30,3,1.314068e+04
9,30,5,1.314068e+04
9,30,1,4.628102e+04
9,30,2,4.628102e+04
9,30,3,4.628102e+04
9,30,5,4.628102e+04
9,30,1,2.436607e+04
9,30,2,2.436607e+04
9,30,3,2.436607e+04
9,30,5,2.436607e+04
9,30,1,1.872892e+04
9,30,2,1.872892e+04
9,30,3,1.872892e+04
9,30,5,1.872892e+04
9,30,1,4.776309e+04
9,30,2,4.776309e+04
9,30,3,1.613922e+04
9,30,5,1.266692e+04
9,30,1,2.870440e+04
9,30,2,2.870440e+04
9,30,3,2.870440e+04
9,30,5,1.143133e+04
9,30,1,4.525915e+04
9,30,2,2.946372e+04
9,30,3,2.946372e+04
9,30,5,2.946372e+04
9,30,1,3.731600e+04
9,30,2,3.731600e+04
9,30,3,3.731600e+04
9,30,5,3.731600e+04
9,30,1,2.048943e+04
9,30,2,2.048943e+04
9,30,3,2.048943e+04
9,30,5,2.048943e+04
9,30,1,1.212178e+04
9,30,2,1.212178e+04
9,30,3,1.212178e+04
