funcid,dim,milestone,error
3,30,1,2.846178e+08
3,30,2,2.846178e+08
3,30,3,2.846178e+08
3,30,5,2.846178e+08
3,30,10,2.846178e+08
3,30,20,2.846178e+08
3,30,30,2.846178e+08
3,30,40,2.846178e+08
3,30,50,2.846178e+08
3,30,1,4.194644e+05
3,30,2,4.194644e+05
3,30,3,4.194644e+05
3,30,5,4.194644e+05
3,30,10,4.194644e+05
3,30,20,4.194644e+05
3,30,30,4.194644e+05
3,30,40,4.194644e+05
3,30,50,4.194644e+05
3,30,1,1.852036e+10
3,30,2,1.852036e+10
3,30,3,1.852036e+10
3,30,5,1.852036e+10
3,30,10,1.852036e+10
3,30,20,1.852036e+10
3,30,30,8.197878e+04
3,30,40,8.197878e+04
3,30,50,8.197878e+04
3,30,1,2.938760e+05
3,30,2,2.938760e+05
3,30,3,2.938760e+05
3,30,5,9.294421e+04
3,30,10,9.294421e+04
3,30,20,9.294421e+04
3,30,30,9.294421e+04
3,30,40,6.713930e+04
3,30,50,4.581853e+04
3,30,1,2.714589e+10
3,30,2,9.472243e+04
3,30,3,9.425671e+04
3,30,5,9.425671e+04
3,30,10,9.425671e+04
3,30,20,9.425671e+04
3,30,30,9.425671e+04
3,30,40,9.425671e+04
3,30,50,9.425671e+04
3,30,1,1.459736e+05
3,30,2,1.459736e+05
3,30,3,1.459736e+05
3,30,5,9.423961e+04
3,30,10,9.423961e+04
3,30,20,9.423961e+04
3,30,30,9.423961e+04
3,30,40,9.423961e+04
3,30,50,9.423961e+04
3,30,1,1.501549e+09
3,30,2,1.501549e+09
3,30,3,1.501549e+09
3,30,5,1.234839e+06
3,30,10,1.722770e+05
3,30,20,1.722770e+05
3,30,30,1.722770e+05
3,30,40,7.982731e+04
3,30,50,6.097890e+04
3,30,1,1.162553e+08
3,30,2,2.091644e+05
3,30,3,2.091644e+05
3,30,5,1.053141e+05
3,30,10,1.053141e+05
3,30,20,8.451310e+04
3,30,30,8.441935e+04
3,30,40,8.441935e+04
3,30,50,8.441935e+04
3,30,1,1.075962e+10
3,30,2,1.075962e+10
3,30,3,1.075962e+10
3,30,5,3.638720e+06
3,30,10,9.528772e+04
3,30,20,9.528772e+04
3,30,30,9.528772e+04
3,30,40,8.067172e+04
3,30,50,8.067172e+04
3,30,1,2.698776e+05
3,30,2,2.698776e+05
3,30,3,2.698776e+05
3,30,5,2.698776e+05
3,30,10,9.384524e+04
3,30,20,9.241133e+04
3,30,30,9.241133e+04
